case_id,activity,timestamp
7,Check Q2 (TA1) HALF,2025-06-01 08:43:11.132601
7,Check Q3 (TA1),2025-06-01 09:08:18.056374
7,Check Q2 (TA2) HALF,2025-06-01 09:49:46.386188
7,Check Q3 (TA2),2025-06-01 10:34:01.588703
7,Calculate Grade,2025-06-01 11:11:39.184790
7,Publish Grade,2025-06-01 12:08:17.250096
8,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
8,Check Q2 (TA1) HALF,2025-06-01 08:24:33.856014
8,Check Q3 (TA1),2025-06-01 08:43:16.639306
8,Check Q2 (TA2) HALF,2025-06-01 08:59:54.719336
8,Check Q3 (TA2),2025-06-01 09:43:11.627618
8,Calculate Grade,2025-06-01 10:12:26.369064
8,Publish Grade,2025-06-01 10:42:23.706657
9,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
9,Check Q2 (TA1) HALF,2025-06-01 08:44:12.175417
9,Check Q3 (TA1),2025-06-01 09:20:18.604426
9,Check Q2 (TA2) HALF,2025-06-01 09:49:31.763859
9,Check Q3 (TA2),2025-06-01 10:41:14.059860
9,Calculate Grade,2025-06-01 11:10:22.398381
9,Publish Grade,2025-06-01 11:34:42.489252
10,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
10,Check Q2 (TA1) HALF,2025-06-01 08:43:02.852689
10,Check Q3 (TA1),2025-06-01 09:19:05.206484
10,Check Q2 (TA2) HALF,2025-06-01 09:51:19.412265
10,Check Q3 (TA2),2025-06-01 10:15:45.957414
10,Calculate Grade,2025-06-01 10:58:21.022059
10,Publish Grade,2025-06-01 11:17:03.952982
11,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
11,Check Q2 (TA1) HALF,2025-06-01 08:44:20.749203
11,Check Q3 (TA1),2025-06-01 09:24:30.882840
11,Check Q2 (TA2) HALF,2025-06-01 10:22:11.401610
11,Check Q3 (TA2),2025-06-01 10:40:05.362476
11,Calculate Grade,2025-06-01 11:20:31.495227
11,Publish Grade,2025-06-01 12:08:56.784689
12,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
12,Check Q2 (TA1) HALF,2025-06-01 08:16:48.558790
12,Check Q3 (TA1),2025-06-01 08:56:11.239669
12,Check Q2 (TA2) HALF,2025-06-01 09:17:58.861047
12,Check Q3 (TA2),2025-06-01 10:13:53.357218
12,Calculate Grade,2025-06-01 10:44:48.953764
12,Publish Grade,2025-06-01 11:11:57.878284
13,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
13,Check Q2 (TA1) HALF,2025-06-01 08:38:37.655374
13,Check Q3 (TA1),2025-06-01 09:29:28.110397
13,Check Q2 (TA2) HALF,2025-06-01 10:04:14.495532
13,Check Q3 (TA2),2025-06-01 10:41:32.446127
13,Calculate Grade,2025-06-01 11:39:13.611187
13,Publish Grade,2025-06-01 12:11:54.752933
14,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
14,Check Q2 (TA1) HALF,2025-06-01 08:47:12.030253
14,Check Q3 (TA1),2025-06-01 09:43:41.863890
14,Check Q2 (TA2) HALF,2025-06-01 10:10:15.916118
14,Check Q3 (TA2),2025-06-01 10:32:45.111632
14,Calculate Grade,2025-06-01 11:14:20.415139
14,Publish Grade,2025-06-01 11:53:41.506673
15,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
15,Check Q2 (TA1) HALF,2025-06-01 08:27:09.262424
15,Check Q3 (TA1),2025-06-01 09:09:36.386405
15,Check Q2 (TA2) HALF,2025-06-01 09:36:03.738289
15,Check Q3 (TA2),2025-06-01 10:11:41.043875
15,Calculate Grade,2025-06-01 11:08:05.621460
15,Publish Grade,2025-06-01 11:20:21.776409
16,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
16,Check Q2 (TA1) HALF,2025-06-01 08:39:52.977321
16,Check Q3 (TA1),2025-06-01 09:15:00.912444
16,Check Q2 (TA2) HALF,2025-06-01 09:53:17.185406
16,Check Q3 (TA2),2025-06-01 10:48:50.327885
16,Calculate Grade,2025-06-01 11:19:07.860214
16,Publish Grade,2025-06-01 11:41:05.195559
17,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
17,Check Q2 (TA1) HALF,2025-06-01 08:27:30.070896
17,Check Q3 (TA1),2025-06-01 09:05:37.388152
17,Check Q2 (TA2) HALF,2025-06-01 09:44:56.814124
17,Check Q3 (TA2),2025-06-01 09:57:13.277514
17,Calculate Grade,2025-06-01 10:23:35.628633
17,Publish Grade,2025-06-01 11:07:44.836551
18,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
18,Check Q2 (TA1) HALF,2025-06-01 08:35:48.494786
18,Check Q3 (TA1),2025-06-01 09:28:57.300784
18,Check Q2 (TA2) HALF,2025-06-01 10:25:56.275814
18,Check Q3 (TA2),2025-06-01 10:58:22.649854
18,Calculate Grade,2025-06-01 11:31:52.352046
18,Publish Grade,2025-06-01 11:48:17.769476
19,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
19,Check Q2 (TA1) HALF,2025-06-01 08:46:24.240427
19,Check Q3 (TA1),2025-06-01 09:30:35.330256
19,Check Q2 (TA2) HALF,2025-06-01 10:16:00.281334
19,Check Q3 (TA2),2025-06-01 10:59:48.511870
19,Calculate Grade,2025-06-01 11:58:03.305886
19,Publish Grade,2025-06-01 12:40:49.279743
20,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
20,Check Q2 (TA1) HALF,2025-06-01 08:12:10.695116
20,Check Q3 (TA1),2025-06-01 08:43:49.529736
20,Check Q2 (TA2) HALF,2025-06-01 09:16:42.830601
20,Check Q3 (TA2),2025-06-01 09:45:48.884269
20,Calculate Grade,2025-06-01 10:26:36.956838
20,Publish Grade,2025-06-01 11:07:30.712931
21,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
21,Check Q2 (TA1) HALF,2025-06-01 08:26:38.807208
21,Check Q3 (TA1),2025-06-01 09:06:31.939665
21,Check Q2 (TA2) HALF,2025-06-01 10:05:42.087235
21,Check Q3 (TA2),2025-06-01 10:58:26.120945
21,Calculate Grade,2025-06-01 11:13:25.744249
21,Publish Grade,2025-06-01 11:59:54.117313
22,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
22,Check Q2 (TA1) HALF,2025-06-01 08:54:29.364115
22,Check Q3 (TA1),2025-06-01 09:37:19.837083
22,Check Q2 (TA2) HALF,2025-06-01 10:34:42.538337
22,Check Q3 (TA2),2025-06-01 11:28:43.966741
22,Calculate Grade,2025-06-01 11:47:55.112239
22,Publish Grade,2025-06-01 12:35:03.213714
23,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
23,Check Q2 (TA1) HALF,2025-06-01 08:51:02.725889
23,Check Q3 (TA1),2025-06-01 09:13:26.347065
23,Check Q2 (TA2) HALF,2025-06-01 09:33:37.046500
23,Check Q3 (TA2),2025-06-01 10:23:33.065187
23,Calculate Grade,2025-06-01 11:15:52.041156
23,Publish Grade,2025-06-01 11:33:13.892839
24,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
24,Check Q2 (TA1) HALF,2025-06-01 08:24:30.556666
24,Check Q3 (TA1),2025-06-01 09:04:15.893838
24,Check Q2 (TA2) HALF,2025-06-01 09:24:07.536842
24,Check Q3 (TA2),2025-06-01 09:50:53.559027
24,Calculate Grade,2025-06-01 10:28:29.242907
24,Publish Grade,2025-06-01 11:05:01.289880
25,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
25,Check Q2 (TA1) HALF,2025-06-01 08:56:48.174112
25,Check Q3 (TA1),2025-06-01 09:46:32.742790
25,Check Q2 (TA2) HALF,2025-06-01 10:29:02.357134
25,Check Q3 (TA2),2025-06-01 10:52:57.610899
25,Calculate Grade,2025-06-01 11:46:22.014188
25,Publish Grade,2025-06-01 11:59:03.556095
26,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
26,Check Q2 (TA1) HALF,2025-06-01 08:58:15.420188
26,Check Q3 (TA1),2025-06-01 09:38:44.729298
26,Check Q2 (TA2) HALF,2025-06-01 09:52:46.149629
26,Check Q3 (TA2),2025-06-01 10:42:57.358690
26,Calculate Grade,2025-06-01 11:06:11.628766
26,Publish Grade,2025-06-01 11:54:23.632238
27,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
27,Check Q2 (TA1) HALF,2025-06-01 08:32:57.644888
27,Check Q3 (TA1),2025-06-01 09:17:44.306659
27,Check Q2 (TA2) HALF,2025-06-01 09:46:21.358793
27,Check Q3 (TA2),2025-06-01 10:27:34.864692
27,Calculate Grade,2025-06-01 11:24:41.107571
27,Publish Grade,2025-06-01 11:40:44.853636
28,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
28,Check Q2 (TA1) HALF,2025-06-01 08:56:38.460892
28,Check Q3 (TA1),2025-06-01 09:39:48.978530
28,Check Q2 (TA2) HALF,2025-06-01 10:17:11.717708
28,Check Q3 (TA2),2025-06-01 10:38:25.783953
28,Calculate Grade,2025-06-01 11:38:11.891483
28,Publish Grade,2025-06-01 12:33:09.368832
29,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
29,Check Q2 (TA1) HALF,2025-06-01 08:47:45.712040
29,Check Q3 (TA1),2025-06-01 09:44:56.272677
29,Check Q2 (TA2) HALF,2025-06-01 10:05:32.952213
29,Check Q3 (TA2),2025-06-01 10:17:55.051114
29,Calculate Grade,2025-06-01 11:11:30.707578
29,Publish Grade,2025-06-01 11:59:16.777083
30,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
30,Check Q2 (TA1) HALF,2025-06-01 08:31:08.575636
30,Check Q3 (TA1),2025-06-01 09:09:28.543075
30,Check Q2 (TA2) HALF,2025-06-01 10:05:29.251926
30,Check Q3 (TA2),2025-06-01 10:36:14.710936
30,Calculate Grade,2025-06-01 11:11:15.383304
30,Publish Grade,2025-06-01 11:59:04.668281
31,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
31,Check Q2 (TA1) HALF,2025-06-01 08:53:51.180856
31,Check Q3 (TA1),2025-06-01 09:43:36.606700
31,Check Q2 (TA2) HALF,2025-06-01 10:37:27.013473
31,Check Q3 (TA2),2025-06-01 11:34:10.662437
31,Calculate Grade,2025-06-01 11:57:33.718553
31,Publish Grade,2025-06-01 12:57:31.263577
32,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
32,Check Q2 (TA1) HALF,2025-06-01 08:39:36.460682
32,Check Q3 (TA1),2025-06-01 08:55:16.914606
32,Check Q2 (TA2) HALF,2025-06-01 09:07:38.243181
32,Check Q3 (TA2),2025-06-01 09:36:34.360172
32,Calculate Grade,2025-06-01 10:17:32.349470
32,Publish Grade,2025-06-01 10:42:46.067566
33,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
33,Check Q2 (TA1) HALF,2025-06-01 08:58:17.736072
33,Check Q3 (TA1),2025-06-01 09:14:33.268156
33,Check Q2 (TA2) HALF,2025-06-01 09:41:41.864599
33,Check Q3 (TA2),2025-06-01 10:11:39.785191
33,Calculate Grade,2025-06-01 11:03:55.438494
33,Publish Grade,2025-06-01 11:53:27.672674
34,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
34,Check Q2 (TA1) HALF,2025-06-01 08:46:33.941797
34,Check Q3 (TA1),2025-06-01 09:19:23.079178
34,Check Q2 (TA2) HALF,2025-06-01 09:43:41.498529
34,Check Q3 (TA2),2025-06-01 09:59:38.591121
34,Calculate Grade,2025-06-01 10:50:40.302606
34,Publish Grade,2025-06-01 11:12:09.794394
35,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
35,Check Q2 (TA1) HALF,2025-06-01 08:27:15.553777
35,Check Q3 (TA1),2025-06-01 09:19:03.411282
35,Check Q2 (TA2) HALF,2025-06-01 09:32:03.238223
35,Check Q3 (TA2),2025-06-01 10:12:07.110790
35,Calculate Grade,2025-06-01 10:27:53.587255
35,Publish Grade,2025-06-01 10:51:42.845080
36,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
36,Check Q2 (TA1) HALF,2025-06-01 08:44:03.407888
36,Check Q3 (TA1),2025-06-01 09:40:15.876919
36,Check Q2 (TA2) HALF,2025-06-01 09:58:44.607747
36,Check Q3 (TA2),2025-06-01 10:29:58.427015
36,Calculate Grade,2025-06-01 11:11:37.930080
36,Publish Grade,2025-06-01 11:51:27.320358
37,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
37,Check Q2 (TA1) HALF,2025-06-01 08:14:35.187111
37,Check Q3 (TA1),2025-06-01 08:42:14.979393
37,Check Q2 (TA2) HALF,2025-06-01 09:36:51.671312
37,Check Q3 (TA2),2025-06-01 09:53:27.161211
37,Calculate Grade,2025-06-01 10:50:52.892105
37,Publish Grade,2025-06-01 11:14:55.991178
38,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
38,Check Q2 (TA1) HALF,2025-06-01 08:52:20.418818
38,Check Q3 (TA1),2025-06-01 09:08:13.012918
38,Check Q2 (TA2) HALF,2025-06-01 09:45:15.918821
38,Check Q3 (TA2),2025-06-01 10:12:25.711839
38,Calculate Grade,2025-06-01 11:10:32.951813
38,Publish Grade,2025-06-01 12:05:07.434942
39,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
39,Check Q2 (TA1) HALF,2025-06-01 08:42:05.679704
39,Check Q3 (TA1),2025-06-01 09:13:33.300711
39,Check Q2 (TA2) HALF,2025-06-01 09:40:56.646952
39,Check Q3 (TA2),2025-06-01 10:35:04.516896
39,Calculate Grade,2025-06-01 11:23:20.919678
39,Publish Grade,2025-06-01 12:18:19.897529
40,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
40,Check Q2 (TA1) HALF,2025-06-01 08:53:09.383047
40,Check Q3 (TA1),2025-06-01 09:28:46.324976
40,Check Q2 (TA2) HALF,2025-06-01 09:48:59.632458
40,Check Q3 (TA2),2025-06-01 10:12:22.271638
40,Calculate Grade,2025-06-01 10:45:39.927842
40,Publish Grade,2025-06-01 11:44:44.978838
41,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
41,Check Q2 (TA1) HALF,2025-06-01 08:16:38.033497
41,Check Q3 (TA1),2025-06-01 08:52:32.315098
41,Check Q2 (TA2) HALF,2025-06-01 09:15:41.189355
41,Check Q3 (TA2),2025-06-01 10:05:59.135296
41,Calculate Grade,2025-06-01 10:36:30.386333
41,Publish Grade,2025-06-01 11:15:59.924107
42,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
42,Check Q2 (TA1) HALF,2025-06-01 08:14:40.216682
42,Check Q3 (TA1),2025-06-01 09:14:16.744624
42,Check Q2 (TA2) HALF,2025-06-01 09:36:41.577592
42,Check Q3 (TA2),2025-06-01 10:02:07.050272
42,Calculate Grade,2025-06-01 10:45:28.491843
42,Publish Grade,2025-06-01 11:08:45.757298
43,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
43,Check Q2 (TA1) HALF,2025-06-01 08:24:45.995770
43,Check Q3 (TA1),2025-06-01 08:55:52.942873
43,Check Q2 (TA2) HALF,2025-06-01 09:42:28.888528
43,Check Q3 (TA2),2025-06-01 10:16:20.449646
43,Calculate Grade,2025-06-01 11:00:34.398902
43,Publish Grade,2025-06-01 11:49:59.017250
44,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
44,Check Q2 (TA1) HALF,2025-06-01 08:54:51.821141
44,Check Q3 (TA1),2025-06-01 09:50:18.801469
44,Check Q2 (TA2) HALF,2025-06-01 10:21:02.127718
44,Check Q3 (TA2),2025-06-01 11:19:39.408750
44,Calculate Grade,2025-06-01 11:37:18.456190
44,Publish Grade,2025-06-01 12:09:59.739062
45,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
45,Check Q2 (TA1) HALF,2025-06-01 08:25:45.214164
45,Check Q3 (TA1),2025-06-01 08:56:44.459007
45,Check Q2 (TA2) HALF,2025-06-01 09:42:01.062474
45,Check Q3 (TA2),2025-06-01 10:29:48.032111
45,Calculate Grade,2025-06-01 11:21:22.560987
45,Publish Grade,2025-06-01 11:48:36.422850
46,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
46,Check Q2 (TA1) HALF,2025-06-01 08:56:01.700474
46,Check Q3 (TA1),2025-06-01 09:45:05.873882
46,Check Q2 (TA2) HALF,2025-06-01 10:14:59.287511
46,Check Q3 (TA2),2025-06-01 10:41:47.557262
46,Calculate Grade,2025-06-01 11:25:45.595595
46,Publish Grade,2025-06-01 11:50:47.859074
47,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
47,Check Q2 (TA1) HALF,2025-06-01 08:23:28.895672
47,Check Q3 (TA1),2025-06-01 08:51:23.564867
47,Check Q2 (TA2) HALF,2025-06-01 09:20:22.402134
47,Check Q3 (TA2),2025-06-01 09:45:30.479218
47,Calculate Grade,2025-06-01 10:18:52.597102
47,Publish Grade,2025-06-01 11:10:44.536718
48,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
48,Check Q2 (TA1) HALF,2025-06-01 08:36:27.806405
48,Check Q3 (TA1),2025-06-01 09:17:00.750551
48,Check Q2 (TA2) HALF,2025-06-01 10:04:27.797555
48,Check Q3 (TA2),2025-06-01 10:57:40.019439
48,Calculate Grade,2025-06-01 11:11:27.816120
48,Publish Grade,2025-06-01 11:59:06.570755
49,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
49,Check Q2 (TA1) HALF,2025-06-01 08:26:50.196916
49,Check Q3 (TA1),2025-06-01 08:47:16.397827
49,Check Q2 (TA2) HALF,2025-06-01 09:44:46.909103
49,Check Q3 (TA2),2025-06-01 10:19:42.997123
49,Calculate Grade,2025-06-01 10:37:26.298436
49,Publish Grade,2025-06-01 11:29:19.454544
50,Check Q1 (Lecturer),2025-06-01 08:00:00.000000
50,Check Q2 (TA1) HALF,2025-06-01 08:15:43.615186
50,Check Q3 (TA1),2025-06-01 09:11:00.903600
50,Check Q2 (TA2) HALF,2025-06-01 09:31:57.014440
50,Check Q3 (TA2),2025-06-01 09:58:31.960480
50,Calculate Grade,2025-06-01 10:19:57.898142
50,Publish Grade,2025-06-01 11:14:21.891119
